time,seconds_elapsed,z,y,x
1742324422348709600,0.024709716796875,-0.14106442120373247,-0.041378889092802996,-0.07265592475757002
1742324422358693600,0.034693603515625,-0.04808569325506687,-0.06389496454447507,-0.09234660405758768
1742324422368678700,0.0446787109375,0.07020283251702784,-0.054286009199917315,-0.07660184937175363
1742324422378663400,0.054663330078125,0.20239596500098705,-0.06280336991548538,-0.037777795860916376
1742324422388648400,0.0646484375,0.26792963666319847,-0.06531710630208254,0.013718253826908767
1742324422398633500,0.074633544921875,0.33113749572634693,-0.04726882391422987,0.02815086646825075
1742324422408617500,0.084617431640625,0.35889001052677627,-0.05809884548634291,-0.010584705041535199
1742324422418602500,0.0946025390625,0.33385610703527924,-0.0635609102845192,-0.015424071364104747
1742324422428587800,0.104587890625,0.3331967663437128,-0.07764175034612417,-0.03380969594754279
1742324422438572500,0.114572509765625,0.28912147777378555,-0.10087269606888294,-0.06780976336803286
1742324422448556500,0.124556640625,0.2042097364246845,-0.1188993511468172,-0.11479330406747758
1742324422458541600,0.13454150390625,0.15382862570881842,-0.10368921479433775,-0.1609660763733089
1742324422468526600,0.144526611328125,0.16708499764502047,-0.0729541770517826,-0.16409692174494264
1742324422478511600,0.15451171875,0.1935971569955349,-0.05246551577448844,-0.15373992451205848
1742324422488495600,0.16449560546875,0.2655950562357902,-0.04459259044229984,-0.15042367610353977
1742324422498480600,0.174480712890625,0.2621072141200304,-0.026623803031444546,-0.09937858505360782
1742324422508465400,0.18446533203125,0.3100941231757402,-0.0635237931445241,-0.06152542240153998
1742324422518450400,0.194450439453125,0.33530162966847415,-0.11424071168601513,0.00899798383936286
1742324422528434400,0.204434326171875,0.2791068642377853,-0.11719108592420815,0.053877318801172074
1742324422538419500,0.21441943359375,0.2157651496618986,-0.08234042955636978,0.09618899523206055
1742324422548404500,0.224404541015625,0.20704875924289226,-0.0627002018019557,0.08407236791551112
1742324422558389800,0.2343896484375,0.18129414026141166,-0.0807405931442976,0.09691223147269337
1742324422568373800,0.244373779296875,0.12489186955988406,-0.052337797741591925,0.11445895754657685
1742324422578358500,0.254358642578125,0.07346212657392025,-0.021984452793002127,0.12170987852290271
1742324422588343600,0.264343505859375,0.057851884987950325,-0.03427110291421413,0.14912044801786542
1742324422598328600,0.27432861328125,0.05223755223751068,-0.032573943607509134,0.16905001410767434
1742324422608313600,0.284313720703125,-0.026027006182074545,-0.03715717974454164,0.20045122414138167
1742324422618297600,0.294297607421875,-0.10815350072681904,-0.025757833851873874,0.20479126263968644
1742324422628282600,0.30428271484375,-0.1867471449702978,-0.0011614449948072433,0.1978043263617903
1742324422638267400,0.314267333984375,-0.2563023272335529,0.02786620430797338,0.17199647935573012
1742324422648252400,0.32425244140625,-0.253497206684947,0.05805412956178188,0.14545202517081052
1742324422658236400,0.334236328125,-0.15719371822774408,0.08967939414232969,0.08658369314931333
1742324422668221400,0.344221435546875,-0.03823240776062011,0.09747107093185185,0.03498085861876607
1742324422678206700,0.354206787109375,0.036544893065094945,0.08076865019500255,-0.03586538636833429
1742324422688191700,0.364191650390625,0.09227028741836547,0.05443126288950443,-0.14752831998821347
1742324422698175700,0.37417578125,0.16447627645134924,-0.006507774458825588,-0.2304989737395197
1742324422708160500,0.384160400390625,0.19839783527553081,-0.009680267015099525,-0.2659177488515153
1742324422718145500,0.3941455078125,0.2582289113819599,0.02334317392557859,-0.2694286065166816
1742324422728130600,0.404130615234375,0.23971534956991672,0.052038522534072394,-0.28759638709835705
1742324422738115600,0.414115478515625,0.15207096838653086,0.05791705917865038,-0.28415895999558266
1742324422748099600,0.424099609375,-0.04176993423700332,0.08562047414034604,-0.18220055104922503
1742324422758084600,0.434084716796875,-0.16626666699945924,0.11247107166498899,-0.04048493592776358
1742324422768069600,0.444069580078125,-0.22151333792507646,0.1756196017563343,0.044100751804746686
1742324422778054400,0.454054443359375,-0.21301789678037164,0.2058399679750204,0.012435849333554506
1742324422788038400,0.464038330078125,-0.20030863733291626,0.20041472805589436,-0.09538615441657602
1742324422798023400,0.4740234375,-0.24597031831145286,0.20847937656790017,-0.22252755646891892
1742324422808008700,0.4840087890625,-0.2491454412162304,0.20395751522928476,-0.2997886734670028
1742324422817993700,0.49399365234375,-0.22091771011948586,0.18616174629777668,-0.34557361549902704
1742324422827977700,0.503977783203125,-0.22439853797256945,0.22050094601213932,-0.2957445126427337
1742324422837962800,0.513962646484375,-0.20470599550902843,0.24711393538862467,-0.21817221080362795
1742324422847947500,0.523947509765625,-0.17586919260323047,0.24292554378807543,-0.15704499393943697
1742324422857932500,0.5339326171875,-0.1460831261485815,0.19995412480682134,-0.14600260825827716
1742324422867916500,0.54391650390625,-0.12790332633554935,0.19866671534478664,-0.16721509029809384
1742324422877901600,0.553901611328125,-0.08082534881830215,0.17614157980382442,-0.18557839345186947
1742324422887886600,0.563886474609375,-0.01749707824587822,0.14579466459602117,-0.2624406473254785
1742324422897871600,0.57387158203125,0.030488077244162557,0.1348962539628148,-0.28814919867552813
1742324422907856400,0.5838564453125,0.03164309249818325,0.11473901659697294,-0.29558121183980257
1742324422917840400,0.59384033203125,-0.002093172886967659,0.09986176546067,-0.26122020215243097
1742324422927825400,0.603825439453125,-0.03185410490036011,0.10534604209065437,-0.20967269627200438
1742324422937810700,0.613810791015625,-0.06045183835327625,0.10211977352052927,-0.10581550449961796
1742324422947795700,0.623795654296875,-0.08229717493653296,0.07685907553583383,-0.026352858869265763
1742324422957779700,0.63377978515625,-0.09728782331943511,0.051931847289204594,0.0557188002157025
