time,seconds_elapsed,z,y,x
1742324483232771800,60.908771728515624,-0.3867284953594208,0.3002106249332428,-0.26542091369628906
1742324483242756900,60.9187568359375,-0.30477917194366455,0.23891215026378632,-0.4807814657688141
1742324483252740900,60.92874096679687,-0.2696651220321655,0.16113027930259705,-0.6798897981643677
1742324483262726000,60.93872583007813,-0.27327024936676025,0.08275663107633591,-0.8337515592575073
1742324483272710000,60.9487099609375,-0.3055908977985382,0.05598413944244385,-0.9188933372497559
1742324483282695000,60.95869482421875,-0.3503376841545105,0.11529894918203354,-0.9251684546470642
1742324483292679700,60.9686796875,-0.371999591588974,0.23619182407855988,-0.8578363060951233
1742324483302663700,60.97866357421875,-0.3471280038356781,0.3585994243621826,-0.7405388355255127
1742324483312648700,60.988648681640626,-0.26660677790641785,0.41161710023880005,-0.5932759046554565
1742324483322632700,60.9986328125,-0.163049578666687,0.37576717138290405,-0.4380124807357788
1742324483332617700,61.00861767578125,-0.07499134540557861,0.2856985330581665,-0.28531986474990845
1742324483342602800,61.01860278320312,-0.009368395432829857,0.20846021175384521,-0.1481039673089981
1742324483352586800,61.02858666992187,0.03224802389740944,0.16638679802417755,-0.03623814135789871
1742324483362571800,61.03857177734375,0.060381803661584854,0.14071299135684967,0.03467600792646408
1742324483372555800,61.0485556640625,0.07206056267023087,0.10648524761199951,0.05815017595887184
1742324483382540800,61.058540771484374,0.060984574258327484,0.06941492110490799,0.036573346704244614
1742324483392525800,61.06852587890625,0.031498055905103683,0.047179121524095535,-0.006768268533051014
1742324483402509800,61.078509765625,-0.018208999186754227,0.051593802869319916,-0.05239291116595268
1742324483412494800,61.088494873046876,-0.06539062410593033,0.07471802830696106,-0.07887724786996841
1742324483422478800,61.09847875976563,-0.09593335539102554,0.09763506054878235,-0.06743417680263519
1742324483432464000,61.1084638671875,-0.11789777129888535,0.09801696240901947,-0.02276497893035412
1742324483442449000,61.11844897460937,-0.1423357129096985,0.05741334706544876,0.04370609298348427
1742324483452433000,61.12843286132812,-0.1666887104511261,-0.028675997629761696,0.11299115419387817
1742324483462418000,61.13841796875,-0.18034568428993225,-0.14601066708564758,0.17257365584373474
1742324483472402700,61.14840258789062,-0.17977817356586456,-0.26046693325042725,0.21418660879135132
1742324483482387000,61.158386962890624,-0.15645594894886017,-0.3520588278770447,0.24197925627231598
1742324483492371700,61.16837182617188,-0.12686103582382202,-0.38077354431152344,0.2675107419490814
